Heure;IP source;IP destination;Flag;Seq;Length
11:42:05;BP-Linux8.ssh;192.168.190.130.50019:;[P.];2243505564:2243505672,;"108
"
11:42:05;BP-Linux8.ssh;192.168.190.130.50019:;[P.];108:144,;"36
"
11:42:05;BP-Linux8.ssh;192.168.190.130.50019:;[P.];144:252,;"108
"
11:42:05;BP-Linux8.ssh;192.168.190.130.50019:;[P.];252:288,;"36
"
11:42:05;192.168.190.130.50019;BP-Linux8.ssh:;[.];1601828178:1601828214,;"0
"
11:42:05;192.168.190.130.50019;BP-Linux8.ssh:;[.];1:37,;"0
"
11:42:05;192.168.190.130.50019;BP-Linux8.ssh:;[.];37:153,;"0
"
11:42:05;192.168.190.130.50019;BP-Linux8.ssh:;[.];153:189,;"0
"
11:42:06;BP-Linux8.58466;ns1.lan.rt.domain:;[P.];326991629:326991749,;"36
"
11:42:06;ns1.lan.rt.domain;BP-Linux8.58466:;[P.];920517760:920517880,;"36
"
11:42:07;192.168.190.130.50245;BP-Linux8.ssh:;[P.];556803824:556803944,;"116
"
11:42:07;BP-Linux8.ssh;192.168.190.130.50245:;[P.];1921632185:1921632305,;"36
"
11:42:07;BP-Linux8.53220;ns1.lan.rt.domain:;[S];1170972654:1170972774,;120:
11:42:07;ns1.lan.rt.domain;BP-Linux8.53220:;[S];754504426:754504546,;120:
11:42:07;BP-Linux8.ssh;192.168.190.130.50245:;[S];669863147:669863267,;120:
11:42:07;BP-Linux8.ssh;192.168.190.130.50245:;[S];1036593434:1036593554,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2465;184.107.43.74.http:;[S];473640609:473640729,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2466;184.107.43.74.http:;[S];294639309:294639429,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2467;184.107.43.74.http:;[S];2003734750:2003734870,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2468;184.107.43.74.http:;[S];943277646:943277766,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2469;184.107.43.74.http:;[S];612921749:612921869,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2470;184.107.43.74.http:;[S];1079269685:1079269805,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2471;184.107.43.74.http:;[S];1427118982:1427119102,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2472;184.107.43.74.http:;[S];1481846896:1481847016,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2473;184.107.43.74.http:;[S];807245684:807245804,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2474;184.107.43.74.http:;[S];29032482:29032602,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2475;184.107.43.74.http:;[S];2121432424:2121432544,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2476;184.107.43.74.http:;[S];266983944:266984064,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2477;184.107.43.74.http:;[S];780253659:780253779,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2478;184.107.43.74.http:;[S];426927737:426927857,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2479;184.107.43.74.http:;[S];2059846495:2059846615,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2480;184.107.43.74.http:;[S];485695892:485696012,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2481;184.107.43.74.http:;[S];1506899314:1506899434,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2482;184.107.43.74.http:;[S];1974670292:1974670412,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2483;184.107.43.74.http:;[S];984948282:984948402,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2484;184.107.43.74.http:;[S];2071134208:2071134328,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2485;184.107.43.74.http:;[S];582048290:582048410,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2486;184.107.43.74.http:;[S];1414722580:1414722700,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2487;184.107.43.74.http:;[S];1376167161:1376167281,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2488;184.107.43.74.http:;[S];793373662:793373782,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2489;184.107.43.74.http:;[S];586859843:586859963,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2490;184.107.43.74.http:;[S];1313429529:1313429649,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2491;184.107.43.74.http:;[S];599747608:599747728,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2492;184.107.43.74.http:;[S];1764270382:1764270502,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2493;184.107.43.74.http:;[S];1266534982:1266535102,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2494;184.107.43.74.http:;[S];1923888203:1923888323,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2495;184.107.43.74.http:;[S];477956184:477956304,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2496;184.107.43.74.http:;[S];1697346829:1697346949,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2497;184.107.43.74.http:;[S];1581732153:1581732273,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2498;184.107.43.74.http:;[S];2134846905:2134847025,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2499;184.107.43.74.http:;[S];5001436:5001556,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2500;184.107.43.74.http:;[S];100084791:100084911,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2501;184.107.43.74.http:;[S];1351883007:1351883127,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2502;184.107.43.74.http:;[S];892547770:892547890,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2503;184.107.43.74.http:;[S];203925976:203926096,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2504;184.107.43.74.http:;[S];93263311:93263431,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2505;184.107.43.74.http:;[S];589592255:589592375,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2506;184.107.43.74.http:;[S];1666861586:1666861706,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2507;184.107.43.74.http:;[S];1444571600:1444571720,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2508;184.107.43.74.http:;[S];702975955:702976075,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2509;184.107.43.74.http:;[S];2016486038:2016486158,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2510;184.107.43.74.http:;[S];1002497398:1002497518,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2511;184.107.43.74.http:;[S];294189577:294189697,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2512;184.107.43.74.http:;[S];1398461889:1398462009,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2513;184.107.43.74.http:;[S];1995017329:1995017449,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2514;184.107.43.74.http:;[S];921320533:921320653,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2515;184.107.43.74.http:;[S];248505708:248505828,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2516;184.107.43.74.http:;[S];558621145:558621265,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2517;184.107.43.74.http:;[S];1118905776:1118905896,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2518;184.107.43.74.http:;[S];1158043116:1158043236,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2519;184.107.43.74.http:;[S];1469406826:1469406946,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2520;184.107.43.74.http:;[S];492373102:492373222,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2521;184.107.43.74.http:;[S];1687855121:1687855241,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2522;184.107.43.74.http:;[S];1360633195:1360633315,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2523;184.107.43.74.http:;[S];1274977706:1274977826,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2524;184.107.43.74.http:;[S];549939990:549940110,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2525;184.107.43.74.http:;[S];1109408249:1109408369,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2526;184.107.43.74.http:;[S];1283855019:1283855139,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2527;184.107.43.74.http:;[S];623143483:623143603,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2528;184.107.43.74.http:;[S];709005792:709005912,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2529;184.107.43.74.http:;[S];1528805205:1528805325,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2530;184.107.43.74.http:;[S];940059508:940059628,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2531;184.107.43.74.http:;[S];1190337142:1190337262,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2532;184.107.43.74.http:;[S];1484037464:1484037584,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2533;184.107.43.74.http:;[S];566224598:566224718,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2534;184.107.43.74.http:;[S];788308167:788308287,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2535;184.107.43.74.http:;[S];96067834:96067954,;120:
11:42:07;190-0-175-100.gba.solunet.com.ar.2536;184.107.43.74.http:;[S];1226579504:1226579624,;120:
